id,classe,tweet
53,no,Cortar a propria carne   Estou vendo so  o ze povinho se ferrar Cortar na carne e diminuir o inchaco da maquina publica  e diminuir o ganho dos politicos 
54,no,Que carne  Ele nao recebe salario minimo ja e aposentado nao precisa do SUS e muito menos de educacao publica a unica carne que ele esta cortando e da pobre quando politicos e ricos serao atingindos 
55,no,Sem reforma tributaria e a do mercado da divida NUNCA cortarao da carne Juros da Divida publica levam cerca de quarenta e tres por cento do orcamento Os gastos primarios nao chegam a  por cento A PEC nao vai resolver nada
56,no,Perfeito Marcio Lembrando que muitos politicos sao donossocios de empresas de plano de saude escolasfaculdadesuniversidades particulares preciso desenhar
57,no,O Brasil esta em crise Precisamos adotar cortes de gastos na populacao e aumentos de salarios para juizes edeputados E tao simples de entender isso 
58,no,verdade vamos ser compreensivos 
59,no,Rodrigo realmente e muito facil de compreender isso Eu compreendi que foi um golpe de mestre Ah ah ah
60,no,O pais e rico mas com tanta roubalheira atraves dos seculos acaba quebrando de vez E essas medidas e para arrochar mais ainda o trabalhador E nao se enganem nao e so um partido que rouba
61,no,Cortar na propria carne e reduzir o no de Deputados Federais e Senadores e seus gabinetes com aa consequente reducao de mordomias
62,no,este  Temer fala em cortar a propria carne entao porque nao comeca cortando os aumentos q ele sancionou dos ministros e deputados e assim ele ja pode ver um melhor desempenho mas nao prefere tirar da gente do q deles mesmos  
63,yes,nem sou mas esse cara e um velho asqueroso
64,no,A populacao esta tao  manipulada que so entendem dois lados  quando nao devemos ter lado nenhum Devemos lutar contra todos os que se locupletam com o nosso dinheiro  seja de que partido for
65,no,Nao e verdade O governo tem milhoes de funcionarios publicos sobrando e nao corta Todo mundo sabe disso Estao cortando na nossa carne e nao na carne dos vermes Ja chega fora Temer 
66,yes,Falou o recalcado que nao deu conta de passar em um concurso ele ate que tentou mais nao deu ne
67,no,Caro Presidente Temer quando o Sr falar em cortar na propria carne por favor comece pelas mordomias dos Srs inclusive a aposentadoria do Sr previdencia diferenciada para politicos e o primeiro item a ser observado e nao a do empacotador do mercado da esquina nao zombe da minha inteligencia por gentileza   
68,no,Vamos cortar os gastos publicos Vamos cortar todos os funcionarios de confianca indicados por politicos Vamos cortar todos os funcionarios de alto escalao indicados pelo governo sem concurso publicos e sem capacitacao tecnica adequada Vamos cortar a quantidade de politicos
69,no,O FMI ja afirmou que entre  paises  incluindo potencias economicas  as medidas adotadas no Brasil sao as DURAS e INFLEXIVEIS Alguem ja leu quem defende e quem e contra ISSO E UM ASSUNTO MUITO SERIO E QUE VAI MEXER COM A VIDA DE TODOS
70,yes,A FMI nao manda nas economia mundiais Que vao a mer rda
71,no,Especialistas afirmam que a PEC nao e boa e a principal razao e porque ela nao ataca o problema real do rombo no nosso orcamento PAGAMENTO DE JUROS DE UMA DIVIDA QUE NAO E AUDITADA Foge da logica pagar juros de uma divida que mesmo com arrecadacao maior so cresce
72,no,TODO ESPECIALISTA TEM QUE MENTIR PRA SE DAR BEM
73,no,SAO QUASE  SO PARA PAGAR JUROS DA  DIVIDA Uma vez que a reforma tributaria e PRINCIPALMENTE A REFORMA DO SISTEMA DA DIVIDA PUBLICA ninguem  se mexe para fazer  ja que contraria os poderosos que emprestam dinheiro ao Brasil alguns ligados ao FMI inclusive  mais facil por a culpa no trabalhador e nos programas sociais que nao representam  da fatia do orcamento
74,no,Por que nao implantar o imposto sobre grandes fortunas Por que NUNCA se audita a divida que de forma ilogica so aumenta apesar do aumento da arrecadacao
75,no,Nao existe especialista em economia apenas aquilo que funciona Aumentar gastos publicos e exigir da sociedade mais impostos para cobrir os gastos de governo incompetente sao DURAS e INFLEXIVEIS Nao podem simplesmente querer aumentar impostos porque nao tem dinheiro pra eles gastar A sociedade tambem precisa de dinheiro pra estimular a economia A sociedade nao consegue pagar mais impostos entao nao podem aumentar os gastos
76,no,Marcio Oliveira o governo devia acabar com privilegios do STF   Congresso camara dos deputados do CNJ ou seja do judiciario em geral e principalmente dos autos escalao do governo isso seria uma boa medida tira das costas do trabalhador e uma imoralidade 
77,no,Paulo Henrique eu nao sou de esquerda Nao se trata de ideologia partidaria As pessoas precisam procurar fontes seguras e antagonicas sobre o assunto antes de usar uma logica de      sem olhar para o problema de forma macro
78,no,Alem de traira hilariona propria carne  KKKKKkkkkkkk
79,no,A unica carne q esta cortando e a oferecida nos JANTARESFILE MIGNON
80,yes,corta na carne nada temer aqui no rj o pacote de maldade deixa juizes politicos e sanguessugas que ganham mais de  mil por mes de fora dos cortes so ferra com pobre e aposentado sabem o que vai acontecer o povo vai acordar e dessa vez nao vai ter desculpa forca e muita pancada nos pilantras sanguessugas
81,no,FORA TEMER  ABAIXO A REDEGLOBODECORRUPCAO 
82,no,TEM QUE CONGELAR E O SALARIO DOS POLITICOS POIS  SAO NEFASTOS  PARA A NACAO
83,no,Eu quero ver os batedores de panela e piscadores de luz de varanda Quero ver bem a cara deles
84,no,Irao sentir na propria carne quando estiverem no inferno pagando pelo que estao fazendo
85,no,Nunca houve um presidente que gastasse tanto melhor comecar pelas proprias contas
86,no,Deviam perguntar a ele sobre os cartoes corporativos  que em  meses gastaram  milhoes muitos mais do que o outro governo em  meses  deveriam zeras estes cartoes 
87,no,A PEC corta a carne do povo porque a dos politicos estao intactas os salarios deles aumentam regalias continuam desvios de dinheiro tambem continuam enquanto a lava jato nao detectar eles e por ai vai bem vindo ao Brasil e politicos farinha do mesmo saco onde todas as eleicoes o povo procuram eles para vender o voto e os politicos nao fazer o voto ficar optativo pois prejudicaria eles no que tange a se elegerem comprando votos e manipulando o povo sempre burro sem educacao saude e tudo que temos direito
88,yes,PAULO VOCE E BURRO
89,yes,VAO BATE PANELASSEUS BURROSBEM FEITO
90,no,Saude e Educacao nao e gasto e investimento o que tem que acabar e a farra publica com esse dinheiro acabar com foro privilegiado fim de regalias e punicao grave a crime de corrupcaoPior cego e o que nao quer enxergar isso nao e e nem sera bom para a saude do Brasil 
91,no,Se fosse os petralhas estariam criando mais bolsas ate virarmos uma Venezuela 
92,no,Cortar na propria carne e acabar com o financiamento de partidos politicos
93,no,cortarsea  a propria carne   a propria carne DOS OUTROS nao a deles 
94,no,Enquanto isso Seus Ministros fazem farra com dinheiro publico
95,no,e quando vao pegar nosso dinheiro de volta com os sanguessugas
96,no,Tem que cortar a carne das regalias dos politicos em Brasilia vamos fazer este sacrificio Temer
97,no,Ate agora so cortou o acem porque o file mignon continua nadando de bracada
98,no,So conversa mole desde que golpeou o poder nao e Temer
99,no,Corta na propria carne do povao enganado pelo sistema  es goto de televisao
100,no,Impopular tu ja e Mordomo Cortar na propria carne nao e bem isso mesmo porque nao e tua carne
101,no,To ligado Por isso os gastos dos cartoes corporativos e a utilizacao dos avioes da FAB  subiram esse corta na carne mesmo 
102,no,Cortando a propria picanha no churrasco de domingo Deve ter faltado o churrasqueiro
103,no,Porque nao reduz os salarios milionarios de toda a classe politica  porque nao  nao cria uma lei em que todos os politicos arquem com suas despesas  porque nao acaba com o foro privilegiado de parlamentares porque nao cria mecanismos pra colocar os corruptos na cadeia e fazer com que devolvam o que roubaram 
104,no,Eu estava concordando com a PEC mais depois que eu vi a reportagem hoje no G da farra dos ministros com aviao da FAB  fiquei revoltadoEsse pais nao tem conserto nao
105,no,E a farra dos ministros POLITICOS  e mais gente do governo com aviao da FAB quem paga a conta esse corte na carne nao existe Agora se  viajassem em aviao de carreira ai se acreditava 
106,no,ahhh isso e cortar da propria carne Vou ficar com medo entao quando ele for cortar da nossa carne
107,no,Desde que assumiu so falafalamas resolucao nenhuma
108,no,Sr presidente o Brasil esta ao seu lado que venham as reformas chega de mimimi e vamos trabalhar
109,no,Primeiro aumento para os amiguinhos depois ferro no povo
110,no,E preciso reduzir e muito O custo Brasilia   Reducao de privilegiosreducao numero de deputados e senadoresreduzir numero de instancias recursais no judiciario    
111,no,Nao vi corte algum DEIXAR DE GASTAR nao e cortar
112,no,Mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios e regalias dos deputados senadores dos secretarios e do Presidente da Republica diminua o salarios autos dos magistrados ai sim eu comeco a acreditar mais neste governo e no Brasil melhor
113,no,Em filmes e novelas a culpa e sempre do mordomo
114,no,Temer  me explique o que e sentir na propria carne ja que nao vao ser cortados nada de suas verbas
115,no,Ahahahahaha Voce devera trabalhar em dobro ou em triplo ele nao 
116,no,Senado pagara R  mil por reforma no gabinete de Romero Juca PMDBRR
117,no,Bem lembrado Marcos Alves  Essa PEC e muito importante para a tao sonhada reforma politica Eu ja participei  
118,no,quem esta com o dinheiro na mao e sabe o que vai precisar fazer para suprir as necessidades seja de sua casa de sua empresa de seu estado municipio e pais e o unico que sabe aonde tem que economizar o que tem que corta pra nao ver o seu negocio afunda o restante sao os julgadores que nao sabem o que esta acontecendo
119,no,Discordo em partes Mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios e regalias dos deputados senadores dos secretarios e do Presidente da Republica  diminua o salarios autos dos magistrados ai sim eu comeco a acreditar mais neste governo e no Brasil melhor
120,no,mais voce viu que ja esta sendo cobrado os impostos de pessoas que aplicam seus dinheiro em outros paises e quanto  corta salario aumenta imposto isso ai nao resolveria o problema e sim agravaria cada vez mais agora corta gasto desnecessario isso sim e valido
121,no,O governo nao tem e nem pode ter carne A carne que estao cortando e do povo via deservicos publicos 
122,no,Corta a propria carne onde Ministros teriam burlado regra da FAB em  voos
123,no, Um Brasil de amanha Ele disse porem o amanha e agora o que esta se falando aqui e de uma recuperacao do pais a longo prazo  anos isso se ate la com este governo que esta bem ai o Brasil ja nao estiver afundado de vezVai vendo
124,no,Melhor comecar cortando as despesas dele porque nao houve ate entao nenhum presidente que gaste tantocomece cortando a propria carne
125,no,Cortar na carne do povo isso sim Pq os autos salarios e as mordomias nao entram no limite de pec da maldadefora temer
126,no,Engracado e meter a mao no dinheiro da  populacao e ao mesmo tempo querer ajudar uma empresa privada  OI  com dinheiro publico O jeito e esperar outro meteoro dar o reset novamente
127,no,Corta a propria Carne Teve churrasco no Planalto e nem nos chamaram Esta e a unica Carne que eles cortam Na mamata deles com certeza nada
128,no,hahahahahahahahaa hahahahahaha E uma piada esse cara 
129,no,Essa e uma reforma urgente A proxima e previdencia PEC e fichinha perto do que SE DEVE fazer 
130,no,Cortando na propria carne aumentando em  os gastos com propaganda ta bom
131,no,hUAHUAHUAHUAHUAHUA E UMA PIADA MESMO ESSE PRESIDENTE 
132,no, so falta acabar com a farra dos cartoes corporativos
133,no,Gastando  MILHOES em   meses com cartoes corporativos Hipocrita
134,no,gerar impopularidade com quem com os eleitores ou com os parlamentares 
135,no,QUera saber pq o povo paga pelo erros dos politicos  Pq nao cortam os proprios salario  as verbas de gabinete e mandam embora aquele monte de auxiliares dos parlamentares que so servira sugar dinheiro publico  Acabem com a roubalheira q o Brasil avanca
136,no,Todos os paises que sairam dessa crise economica sairam com alto investimento em educacao e tecnologia Ja no Brasil a receita e o contrario O resultado ja sabemos a volta da Republica da Banana a classe media voltando para a pobreza e a pobreza voltando a semiescravidao
137,no,Estes politicos ai de Brasilia praticamente nenhum tem ficha limpa sao os maiores ladroes do Brasil
138,no, acabou  a mordomia dos comunistas  vao trabalhar  fora seus corruptos
139,no,esse e o caminho do crescimento
140,no,Claro que nao Votacao no G quem ai e a favor da PEC dar um verdinho e quem for contra o vermelho Vamos ver se realmente impopular
141,no,Da para fazer uma lista com mais de cinquenta itens Se tivessemos um Governo do Povo e para o Povo  tudo seria diferente Temos Governantes que so pensam no enriquecimento proprio
142,no,NOS PEOCUPEMOS COM NOSSO PAIS ESTE ESTA SUJOOS OUTROSPROBLEMA DELESIGNORANTES
143,no,Na carne de quem carapalida
144,no,Para ele que tem varias aposentadorias nem vai sentir o corte   kkkkkkkkkkkk
145,no,Finalmente chegou  a hora de trabalhar pra ter as coisas nesse pais Ja estava me sentindo um trouxa de trabalhar pra poder comprar minhas coisas 
146,no,Preparemse todos Corte para concursos publicos poderao colocar seus apadrinhados com altos salarios sem concurso sem verbas para saude educacao e seguranca publica  aguardem aumento de assaltos Para reduzir gastos bastaria fazer cortes nos altos salarios de cargos comissionados sem concurso e beneficios dos gestores
147,no,Na carne de quem Aumento para varias categorias de servidores servis que dao suporte a tudo que esta sendo feito O unico que vai sentir os impactos reais e o povo que por incrivel que pareca foi tao alienado que uma grande parcela apoia essa loucura
148,no,Tem tonto que acredita nessa palhacada vai cortar apenas do pobre que necessitada de saude e educacao do governo esta pra ser aprovado a terceirizacao esse mes  e vao aprovar o caixa  para que as Delacoes da  Odebrecht poderem ser realizadas e nao punirem os imundos
149,no,Nao vai ter golpe Dilmae  o povo bonito e trabalhador vai te colocar la novamente
150,no,TODO SEM NOCAOSEM ARGUMENTO ADESTRADOJOGA CULPA EM QUEM NEM SABE
151,no,Antonio Oliveira A VENEZUELA A GASOLINA VALE   CENTAVOS DE DOLAR NEM POR ISSO E POTENCIA
152,no,Nao reconheco esse governo ilegitimo e golpista Fora Temer e companhia
153,yes,ESTA ANTA  QUE ESTA AI AGORA SO FAZ CADA UM DE NOS SOFRER ENQUANTO  SE BANQUETEIA COM OS NOSSOS SALARIOS VAI EMBORA  E LEVA SEUS AMIGOS ANTASGOLPISTAS E SAFADOS COM VOCE
154,yes,ninguem se importa com vc nem sua mae seu nada
155,no,E as palestras do analfabeto  Quantas foram proferidas apos a Lava Jato
156,no,Esse e o meu presidente que venham as reformas e vamos trabalhar chega de mimimi 
157,no,Povao O governo quer cortar direitos previdenciarios e cortar gastos com educacao e saude Tudo isso para manter os privilegios dos poderosos Nao podemos aceitar Vamos protestar Vamos de Lulo  e Lulala 
158,no,So vejo os comunistas contra a PEC o resto q vejo sao todos a favor
159,no,Enfim uma iniciativa com vistas no futuro e nao so na proxima eleicao
160,no,Heranca do governo anterior
161,no,Falando em heranca sao  anos de PEC haja heranca pra deixar
162,no,vOCE E UM BRINCALHAO 
163,no,Parabens Pres temos que tomar mediadas duras e culpa do PTe
164,yes,Vai te lascar miquinho amestrado
165,yes,IDIOTA
166,yes,Vai pro tanque sras Sonia
167,no,Sonia o cartao corporativo do seu presidente ja bateu a casa dos R  milhoes em  meses
168,no,Ja ouviu algum dia falar em antenas nao essas aquelas de longo alcance Nao ne rsrs
169,no,Perfeita explicacao fisica Antonio Souza Mas acho que em OC e OT ninguem mais transmite ne
170,no,Quem tem o famoso transglobe da Philcoso vai servir pra ouvir radio do Paraguai
171,no,Isso mesmo FM e local e loge de tudo nao chega Acabar com radio no interior despovoado e a meta
172,no,Leio a noticia com tristeza A transmissao em AM e a unica possibilidade de ouvir radio nos lugares mais longinquos deste nosso Brasilsao A transmissao em FM e por demais limitada e baixo alcance devido as frequencias de radio transmissao Se as duas modalidades sao autorizadas e legais nao precisa o Sr Presidente se dar a esse trabalho Mas ao contrario deveria estimular a radio transmissao em AM para os locais onde as populacoes necessitam de acesso as transmissoes de radio ate para inclusao social e inclusao Nacional E uma pena
173,no,As radios sao controladas por politicos so precisavam do presidente certo pra ganhar o presente Muita gente  vai xiar o AM tem maior alcance
174,no,Para quem nao entende existe sim a transmissao de radio AM aindaem cidades pequenas nos locais mais afastados das capitais  onde fm nao chega nem com chiadosa AM chega ruim mas cheganos  cantoes deste Brasilzao  so AM chega e com muita palha de aco nas anteninhasagora esse povo pode ficar sem este entretenimentopois tv analogica sempre foi luxo a TV digital sera utopiaagora sem AMserao isolados  ate de informacoestudo que eles queriam quem sabe
175,no,Nem todo mundo mora em cidades meu Acorda
176,no,O Brasil tem  milhoes de km meu A propagacao da FM nao passa de  km
177,no,Deixa pra la Esquece E dificil tentar fazer compreender o basico do basico Bjs Tata
178,no,Infelizmentehoje em dias e melhor ser arruaceiro e agitador no Brasil do que ser trabalhador honesto
179,no,Com certeza essa lista contem  de politicos  Lamentavel
180,no,E quando essa imoralidade vai ter fim Ate quando trabalhadores vao ter que sustentar parasitas
181,no,FARRA DO BOI  LOGO LOGO VAI TER MAIS UM PEDINDO ANISTIASABE QUEM E NE  FAZ ME RIR
182,no,E as familias dos soldados e dos civis mortos pelas bombas dos terroristas so recebem xingamentos Esse pais so defende e da premios a bandidos
183,no,Cara que bota preco em ideal nao e idealistaE mercenario
184,no,Foi com anistia que o governo militar deixou o Brasil na pior
185,no,essa noticia nao interessa a globo
186,no,Torra se absurdo com politicos militares judiciario e o problema e o velhinho que com  pega um salario minimo
187,no,O problema e os caras tirarem dinheiro da previdencia dos trabalhadores da iniciativa privada para pagar beneficios para servidor publico civilmilitar
188,no,O Senado um das instituicoes mas caras e inuteis do pais votando o corte de gastos dos outros os deles naoBando de ladravazes do erario
189,no,TEMOS QUE IR PRAS RUAS MOSTRAR QUE NAO ACEITAREMOS 
190,no,A pec do mal comeca esta semana o fim de nosso pais 
191,no,Usando o calculo diferencial e integral se voce tem  anos de contribuicao e comecou aos  anos hoje tem  anos pela reforma vai cair no pedagio de  ate  faltam  anos talvez voce trabalhe mais uns  anosse tivesse menos de  anos cairia na reforma completa
192,no,Preparem se esse  PEC  for aprovado  o Brasil sera uma  nova Etiopia 
193,no,E a grana pra salvar a oi vai sair de onde
194,no,agora e do setor eletrico que ninguem quer investigar
195,yes,Demente total 
196,no,Temos que acabar com esses rotulos de esquerda ou direita Tem politicos corruptos em todos os partidos Vemos com clareza que alguns partidos defendem interesses da elite e outros do povao Outra PMDB e PSDB nao sao partidos sao quadrilhas organizadas
197,no,essa esquerda que esta ai nao tem condicoes com linderberg gleisi fatima bezzeratotalmente insanos
198,yes,Joao Pereira seu anencefalo Seus comentarios sempre me enojam 
199,yes,Quer vida facilva rodar bolsinha na AvAtlantica ou na Vieira Souto Joao
200,no,Olha nisso tenho que concordar com o Joao melhor pagar um SM para um estudante do que para um presidiario
201,no,Esse pais esta podreque nojo
202,no,nao entendi a colocacao podre  onde  pais  nao e no pais
203,no,Eu que nao entendi seu Edsonda para explicar a duvida melhor
204,no,Outro seu Bertin lexotankkkVixemas vc ainda e mortadela meu filho
205,no,Resultado de  anos de patria educadora Educando ladroes e corruptos
206,yes,So abestalhados fazem essa prova imunda rsrsPor isso que voces sempre serao os nossos escravos 
207,no,Engracado e que se voce disputar emprego com eles voce perdera
208,no,votaremos em quem quisermos o voto e livre se vc nao gosta problema o seu
209,no,Nao tem aquela frase  so nascendo de novo  Para o Brasil so colonizando de novo
210,no,Sr Sergio moro crie uma comissao de magistrados corajosos p apurar crimes sem medo
211,no,E o fim Desisto do meu pais 
212,no,Esse modelo de Enem e enganar o povo que pensa que vai entra na faculdadeentra uns poucos o resto e tudo fraude
213,no,E ainda reclamam que so ha corrupcao no Brasil 
214,no,Talvez Luiz vc nao seja bom o bastante para tirar uma nota boa e fica de mimi eu entrei atraves do ENEM e to de boa estudando sem nenhuma conspiracao kk
215,no,Eu estava na ocupacao de escola e sai pra fazer o ENEM Sou esperto 
216,no,Esse foi apenas mais uma fraude Certamente deve ter outros tantos que fraudam e ninguem nunca sabera Alias esse pais historicamente ja e uma grande fraude
217,no,Corrupcao e mais corrupcao Em todas as areas no Brasil Sabe o que acontece com corruptos NADA
218,yes,da vontade de por um aipim no rbbbbbbb
219,no,Cade Sergio moro podia pegar essa de sobremesa 
220,no,Engracado as fraudes  comeca  nonpoder de Brasilia 
221,no,Me diga uma acao publica que nao tem fraudes neste pais A desconfianca e tao grande que fico querendo saber que e a pessoa de forro privilegiado que esta por traz deste esquema
222,no,Quando mais a esquerda mentir sera melhor para o Brasil assim nao vao eleger ninguem em 
223,no,Edmond antes de julgar comentarios  que tal vc tentar saber a verdade o projeto de lei   tratava de reformas da previdencia e foi barrado pela oposicao na epoca que por acaso ou golpe do destino hoje e governo
224,no,era de se esperarnao adianta perguntareles nao vao falar dos  milhoes do srra
225,no,Cite amigo esquerdopata UMA LINHA ONDE DEFENDO QUEM QUER QUE SEJA UMA SO
226,no,Tudo o que defendo aqui e o imperio das leis e TODOS e note que sempre grifo o todos paguem pelos seus mal feitos O que nao tolero e a hipocrisia e as mentiras descabidas da esquerda incluo o PSDB que para mim e muito a esquerda E entendo intolerante esses esquerda lha defendendo os bandidos de estimacao mas atacando os outros que sao pequenas causas Hipocrisia aqui nao
227,no,Se e contra o Brasil nao sei mas contra essa PEC maligna e draconiana eu sou e serei sempre
228,no,Entendam que a causa principal de tudo o que esta acontecendo na politica e com reflexos negativos na economia e obra do populismo que quando em seus  anos de desgovernanca so tinha um e somente um plano de governo Se perpetuar no poder a qualquer custo
229,no,Derrotada nas urnas Gostaria de saber mais
230,no,DERROTADA nas Urnas em que urnas ahahahh ate onde ganharam perderam pra votonulo ahahahh
231,no,Nao foram derrotados nas urnas FORAM VARRIDOS E eles sabem disso hehehehe
232,no,Exercicio de logica elementar Se o PSDB que ganhou a maioria das cidades e foi o grande vencedor das eleicoes supostamenteb perdeu para os votos nulos imagina os vermelhos kkkkkk FORAM VARRIDOS Em SP entaoPrimeiro turno Um passeio
233,no,rindo da sua cara com  de desconto na aposentadoria e o seu troco por apoiar golpista ahahahah
234,no,Quem apoia ladrao
235,no,to dizendo que a globo fez e o sergio moro fez boca de urnaeles estao apagando as mensagens
236,yes,MarcosVc nao cansa de ser estupido SabeAte para ser mau carater tem limites Vcs foram varridos por serem incompetentes corruptos e genocidas canalhs
237,no,Nilsa Amaral eu sei A do  TEMER tem MORTE MAIS PROLONGADA  ANOS 
238,yes,Mauro e dementekkkkkkquem ta lutando por poder sao voces apoiando bandidos no poder
239,yes,Felizmente extirpamos o ProjeTo defoder o povo dos clePTorruPTo
240,no,Antes tao AMEACADORES esses  clePTorruPTo agora verdadeiras corsas veadinhos mansinhos so com mimimi
241,no,SEMPRE OS MESMOS NAO BASTOU AFUNDAREM O BRASIL E QUEREM MAIS
